Date,Time,Rate,Number Averaged,Operator,State Label,Sample Label,UDPi_SpeedDemand,UDPi_Throttle,C_SPDDYN,UDPi_TorqueDemand,C_TRQENG,U_BPOW,M_FRAIRW,M_FRFUEL,M_RELHUM,T_AMB,P_AMB,T_INLET,P_INLET,E_NOXD2,E_O2D2,E_CH4W2,E_THCW2,E_CO2D2,E_COLD2,E_COHD2,C_BHP,E_NOD2
,,,,,,,,,rpm,,Nm,kW,kg/hr,kg/hr,%,°C,Bar A,°C,Bar A,ppm,%,ppm,ppm,%,ppm,%,bhp,ppm
06/03/2015,15:34:27.190,0.100000,10,,ADX_Roadfile,1Hz,1448.750000,0.000000,1163.474487,0.000000,-26.029001,-3.769410,0.000000,0.539370,27.132179,27.828905,0.977030,20.972574,0.981380,-1.118867,20.723101,3.364360,42.145302,0.111903,3.515390,0.001453,-5.054779,0.454147
06/03/2015,15:34:28.190,0.100000,10,,ADX_Roadfile,1Hz,1297.824951,0.000000,1312.582642,0.000000,-47.523285,-6.497949,0.000000,2.187146,27.071449,27.764917,0.977037,20.954718,0.981319,-0.978332,20.725901,3.359130,43.179699,0.112141,3.458550,0.001312,-8.713749,0.582756
06/03/2015,15:34:29.190,0.100000,10,,ADX_Roadfile,1Hz,792.424988,0.000000,1006.048645,0.000000,-60.458202,-6.353727,0.000000,3.931357,27.069269,27.797880,0.977028,20.964621,0.981309,-0.811843,20.728399,3.401050,44.241299,0.110420,3.418490,0.001487,-8.520349,0.621689
06/03/2015,15:34:30.190,0.100000,10,,ADX_Roadfile,1Hz,515.000000,0.000000,875.208008,0.000000,-39.943588,-3.667550,0.000000,5.265247,27.038750,27.819105,0.977037,20.993731,0.981272,-1.247166,20.728001,3.381400,45.447800,0.112122,3.432950,0.001442,-4.918184,0.531765
06/03/2015,15:34:31.190,0.100000,10,,ADX_Roadfile,1Hz,515.000000,0.000000,900.090210,0.000000,-16.923475,-1.588911,0.000000,5.254491,27.022551,27.779972,0.977021,20.915583,0.981299,-1.067946,20.721500,3.385290,46.480701,0.111747,3.460620,0.001540,-2.130729,0.570198
06/03/2015,15:34:32.190,0.100000,10,,ADX_Roadfile,1Hz,515.000000,0.000000,942.710571,0.000000,-4.465579,-0.438440,0.000000,5.264741,26.990789,27.809959,0.977011,20.941877,0.981254,-1.247164,20.722500,3.368200,63.365799,0.109827,3.429740,0.001411,-0.587949,0.531767
06/03/2015,15:34:33.190,0.100000,10,,ADX_Roadfile,1Hz,515.000000,0.000000,965.582031,0.000000,2.560491,0.259107,0.000000,5.391940,26.959021,27.769510,0.977030,20.978724,0.981401,-1.234187,20.724701,3.585770,395.061981,0.110160,3.399750,0.001422,0.347462,0.557387
06/03/2015,15:34:34.190,0.100000,10,,ADX_Roadfile,1Hz,515.000000,0.000000,983.347961,0.000000,0.213369,0.021853,0.000000,5.171970,26.961201,27.753117,0.977035,20.935089,0.981328,-0.836799,20.725000,7.906400,2000.531982,0.118273,4.189710,0.002102,0.029305,0.531769
06/03/2015,15:34:35.190,0.100000,10,,ADX_Roadfile,1Hz,515.000000,0.000000,986.822327,0.000000,3.649622,0.377265,0.000000,4.730742,26.962761,27.742954,0.977041,20.975269,0.981409,0.814389,20.663700,16.905701,5028.620117,0.360998,33.212109,0.015087,0.505913,1.739242
