Date,Time,SP_Thro,UDPi_SpeedDemand,C_SPDDYN,C_SPDDEV,UDPi_TorqueDemand,C_TRQENG,C_BHP,U_BPOW,U_BMEP,U_BSFC,M_BATT-S,M_RELHUM,M_FRAIRW,M_FRAIRSIERRA,M_FRFUEL,U_FREXG,M_UEGO01,C_LAMBDAV,C_LAMBDAS,C_LAMBDAS-2,C_LAMBDADIF,C_CBAL,P_AMB,P_INLET,P_COMPOUT,P_CACOUT,P_CACDELP,P_INTAKE,P_BEGRCOOLER,P_AEGRCOOLER,P_TURBOUT,P_DOCIN,P_SCROUT,P_COOLIN,P_COOLOUT,P_FUELIN,P_FUELOUT,P_OILGALL,P_CCP,T_AMB,T_INLET,T_COMPOUT,T_CACOUT,T_INTAKE,T_BEGCOOLER,T_AEGCOOLER,T_TURBOUT,T_DOCIN,T_SCROUT,T_COOLIN,T_COOLOUT,T_RADH2OIN,T_RADH2OOUT,T_CACH2OIN,T_CACH2OOUT,T_FUELIN,T_FUELOUT,T_OILGALL,T_OILPAN,E_CH4W,E_CH4W2,E_CO2D,E_CO2Dlo,E_CO2W,E_CO2W2,E_COHD,E_COHD2,E_COHW,E_COHW2,E_COLD,E_COLD2,E_COLW,E_COLW2,E_NOD,E_NOD2,E_NOW,E_NOW2,E_NOXD,E_NOXD2,E_NOXW,E_NOXW2,E_O2D,E_O2D2,E_O2W,E_O2W2,E_THCW,E_THCW2,E_EGR,C_EGRBG,M_SMOKE,M_MKS1_NOX,M_MKS1_N2O,M_MKS1_NO,M_MKS1_NO2,M_MKS1_CO,M_MKS1_CO2,M_MKS1_NH3,E_CO2EGR,U_SENOXW,U_SENOXW2,U_SECO2W,U_SECO2W2,U_SETHCW,U_SECOW,U_SECOW2,U_SEO2W,U_FRNOXW,U_FRNOXW2,U_FRCO2W,U_FRCO2W2,U_FRTHCW,U_FRTHCW2,U_FRCOW,U_FRCOW2,U_FRO2W,U_FRO2W2,RPM_DYNO,RPM_DEMAND,BTRQ,BTRQ_DEMAND,DDEC_THRPC,BATTERY_VOLTS,BHP,BPWR,BMEP,BSFC,RH,AM,FM,FM_TEMP,FUEL_DEN,EXM,LAMBDA,LAMBDA_1,LAMBDA_DIFF,LAMBDA_SPINDT_1,LAMBDA_SPINDT_2,LAMBDA_VOL,BARO,API,API_ABS,CPI,CPI_ABS,CPO,CPO_ABS,ICPI,ICPO,ICPD,TPO,TPO_ABS,CCP,CCP_ABS,GOP,GOP_ABS,FPI_ENG,FPO_ENG,CLPI,CLPO,AATI,CTI,CTO,ICTI,ICTO,TTO,CLTI,CLTO,CLT_W_IN,CLT_W_OUT,ICCLTI,ICCLTO,GOT,FTI,FTO,AFR_STOICH,SMK_FSN,CH4_PPM_W1,CH4_PPM_W2,CO2_IM_PCT,CO2_PCT_D1,CO2_PCT_D2,CO_PCT_D1,CO_PCT_D2,CO_PPM_D1,CO_PPM_D2,NOX_PPM_D1,NOX_PPM_D2,NO_PPM_D1,NO_PPM_D2,O2_PCT_D1,O2_PCT_D2,HC_PPM,HC_PPM_W1,HC_PPM_W2,EGR_MASS
,,%,,rpm,rpm,,Nm,bhp,kW,bar,g/kWh,V,%,kg/hr,kg/hr,kg/hr,kg/h,-,-,-,-,%,-,bar,bar,Bar A,Bar A,Bar A,Bar A,Bar A,Bar A,Bar A,Bar A,Bar A,Bar G,Bar G,Bar G,Bar G,Bar G,Bar A,°C,°C,°C,°C,°C,°C,°C,°C,?c,°C,°C,°C,?c,?c,?c,?c,?c,?c,°C,°C,ppm,ppm,%,%,%,%,%,%,%,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,%,%,%,%,ppm,ppm,-,-,FSN,ppm,ppm,ppm,ppm,ppm,%,ppm,%,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/h,g/h,g/h,g/h,g/h,g/h,g/h,g/h,g/h,g/h,rpm,rpm,N-m,N-m,%,V,hp,kW,bar,kg/kWhr,%,kg/min,kg/min,degC,kg/L,kg/min,ratio,ratio,ratio,ratio,ratio,ratio,kPaa,kPa,kPaa,kPa,kPaa,kPa,kPaa,kPa,kPa,kPa,kPa,kPaa,kPa,kPaa,kPa,kPaa,kPa,kPa,kPa,kPa,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,°C,degC,degC,ratio,FSN,ppm,ppm,%,%,%,%,%,ppm,ppm,ppm,ppm,ppm,ppm,%,%,ppm,ppm,ppm,kg/min
1/9/2015,11:30:08 AM,0,600,599.375,-10.77,0,4.85,0.408,0.304,0.041,4758.077,14.553,23.863,225.742,-19.889,1.403,227.145,7.599,10.993,13.394,13.906,-21.844,0.88,0.981,0.978,1.011,1.002,0.009,1.006,0.948,1.007,0.973,0.972,0.96,0.564,0.632,0.39,0.547,1.455,0.974,25,27.865,36.596,25.62,28.493,126.735,75.979,104.316,99.864,188.819,90.928,91.527,24.11,88.045,22.375,22.568,30.09,38.167,100.159,98.773,3.049,2.131,1.053,1.029,1.033,1.01,0.004,0.001,0.004,0.001,29.855,0.559,29.289,0.548,74.562,11.705,73.149,11.483,76.96,12.622,75.501,12.383,19.386,19.483,19.018,19.114,94.406,0.513,8.574,0.05,0.33,12.223,0.121,10.614,1.609,-0.058,1.035,0.044,0.09,93.092,15.252,12177.232,11904.095,37.174,29.52,4.563,163018.656,27.44,4.5,3590.327,3510.651,10.963,0.06,8.672,1.342,48076.516,48318.316,599.375,600,8.061,0,0,14.62,0.408,0.304,0.041,4.758,23.863,3.762,0.023,20.883,0.837,3.786,13.65,7.599,-0.218,13.394,13.906,10.993,98.062,-0.258,97.804,-0.258,97.804,3.038,101.1,3.038,2.157,0.881,-0.779,97.282,-0.706,97.356,145.483,243.544,38.959,54.737,56.427,63.23,27.807,27.865,36.596,36.596,25.62,104.316,90.928,91.527,24.11,88.045,22.375,22.568,100.159,30.09,38.167,14.557,0.33,3.049,2.131,0.09,1.053,1.029,0.004,0.001,29.855,0.559,76.96,12.622,74.562,11.705,19.386,19.483,47.46,94.406,0.513,0.198
1/9/2015,11:30:09 AM,0,600,599.197,-10.97,0,5.339,0.449,0.335,0.045,4299.846,14.552,23.891,225.601,-19.927,1.405,227.006,7.584,10.963,13.359,13.933,-21.852,0.88,0.981,0.978,1.011,1.002,0.009,1.006,0.948,1.007,0.973,0.972,0.96,0.565,0.633,0.39,0.547,1.455,0.974,27.826,27.886,36.492,25.607,28.489,126.631,75.934,104.297,99.817,188.65,90.906,91.521,24.094,88.048,22.332,22.527,30.061,38.158,100.191,98.778,3.06,1.977,1.055,1.027,1.035,1.008,0.004,0.001,0.004,0.001,30.279,0.578,29.703,0.567,73.901,12.041,72.496,11.812,77.257,12.312,75.789,12.078,19.376,19.484,19.008,19.114,94.485,1.049,8.566,0.05,0.33,12.273,0.155,10.653,1.62,-0.061,1.042,0.011,0.09,84.19,13.389,10999.391,10711.589,33.546,28.753,4.127,146927.078,27.528,4.387,3595.32,3501.034,10.965,0.122,9.42,1.343,48022.641,48289.07,599.197,600,7.282,0,0,14.595,0.449,0.335,0.045,4.3,23.891,3.76,0.023,20.891,0.837,3.783,13.646,7.584,-0.219,13.359,13.933,10.963,98.062,-0.255,97.807,-0.255,97.807,3.04,101.102,3.04,2.15,0.889,-0.791,97.271,-0.704,97.358,145.527,243.589,38.968,54.741,56.478,63.28,27.826,27.886,36.492,36.492,25.607,104.297,90.906,91.521,24.094,88.048,22.332,22.527,100.191,30.061,38.158,14.557,0.33,3.06,1.977,0.09,1.055,1.027,0.004,0.001,30.279,0.578,77.257,12.312,73.901,12.041,19.376,19.484,47.767,94.485,1.049,0.198
1/9/2015,11:30:10 AM,0,600,599.26,-11.044,0,2.552,0.215,0.16,0.022,15955.064,14.522,23.917,225.546,-19.919,1.444,226.99,7.63,10.669,13.433,13.861,-25.935,0.851,0.981,0.978,1.011,1.002,0.009,1.006,0.948,1.007,0.973,0.972,0.96,0.565,0.633,0.39,0.547,1.457,0.974,27.845,27.861,36.577,25.593,28.473,126.525,75.943,104.224,99.794,188.483,90.902,91.497,24.123,88.107,22.362,22.531,30.084,38.146,100.2,98.787,3.074,2.063,1.049,1.033,1.029,1.013,0.004,0.001,0.004,0.001,30.543,0.578,29.965,0.567,73.557,11.966,72.163,11.74,76.842,12.5,75.387,12.263,19.379,19.489,19.012,19.119,94.313,1.004,8.581,0.05,0.33,12.039,0.035,10.432,1.606,-0.056,1.028,-0.001,0.09,299.224,47.594,39131.676,38666.398,119.856,105.184,18.124,526473.813,27.38,4.454,3574.472,3520.789,10.945,0.117,9.263,1.7,48029.367,48300.254,599.26,600,4.324,0,0,14.574,0.215,0.16,0.022,15.955,23.917,3.759,0.024,20.912,0.837,3.783,13.647,7.63,-0.259,13.433,13.861,10.669,98.06,-0.259,97.801,-0.259,97.801,3.024,101.084,3.024,2.142,0.882,-0.787,97.273,-0.701,97.359,145.728,243.788,38.979,54.733,56.546,63.284,27.845,27.861,36.577,36.577,25.593,104.224,90.902,91.497,24.123,88.107,22.362,22.531,100.2,30.084,38.146,14.557,0.33,3.074,2.063,0.09,1.049,1.033,0.004,0.001,30.543,0.578,76.842,12.5,73.557,11.966,19.379,19.489,47.659,94.313,1.004,0.2
1/9/2015,11:30:11 AM,0,600,599.529,-11.207,0,-0.171,-0.014,-0.011,-0.001,15697.657,14.498,23.965,225.637,-19.916,1.435,227.072,7.747,10.743,13.466,13.713,-25.371,0.855,0.981,0.978,1.011,1.002,0.009,1.006,0.948,1.007,0.973,0.972,0.96,0.566,0.634,0.39,0.548,1.458,0.974,27.835,27.884,36.52,25.543,28.521,126.449,75.95,104.179,99.762,188.358,90.896,91.489,24.126,88.212,22.343,22.515,30.067,38.162,100.154,98.728,3.027,2.051,1.046,1.045,1.026,1.025,0.004,0.001,0.004,0.001,30.544,0.581,29.965,0.57,73.799,12.078,72.4,11.849,76.532,13.053,75.081,12.806,19.387,19.477,19.019,19.108,94.253,0.603,8.629,0.05,0.33,11.925,0.098,10.309,1.616,-0.059,1.049,0.012,0.09,301.119,48.595,39403.75,39392.887,120.934,99.931,14.145,530863.063,27.279,4.653,3567.255,3561.63,10.942,0.07,9.514,1.427,48065.52,48288.16,599.529,600,1.137,0,0,14.539,-0.014,-0.011,-0.001,15.698,23.965,3.761,0.024,20.916,0.837,3.785,13.589,7.747,-0.254,13.466,13.713,10.743,98.061,-0.262,97.799,-0.262,97.799,3.024,101.085,3.024,2.145,0.879,-0.806,97.256,-0.709,97.353,145.813,243.875,38.965,54.776,56.643,63.396,27.835,27.884,36.52,36.52,25.543,104.179,90.896,91.489,24.126,88.212,22.343,22.515,100.154,30.067,38.162,14.557,0.33,3.027,2.051,0.09,1.046,1.045,0.004,0.001,30.544,0.581,76.532,13.053,73.799,12.078,19.387,19.477,47.428,94.253,0.603,0.199
1/9/2015,11:30:12 AM,0,600,599.734,-11.277,0,-0.142,-0.012,-0.009,-0.001,15821.477,14.481,24.001,225.735,-19.943,1.394,227.129,7.765,11.059,13.507,13.599,-22.14,0.877,0.981,0.978,1.011,1.002,0.009,1.006,0.948,1.007,0.973,0.972,0.96,0.567,0.634,0.39,0.548,1.457,0.973,27.793,27.862,36.502,25.544,28.51,126.351,75.949,104.131,99.714,188.167,90.915,91.492,24.133,88.229,22.359,22.539,30.085,38.149,100.212,98.743,2.939,1.938,1.043,1.053,1.023,1.033,0.004,0.001,0.004,0.001,30.485,0.618,29.908,0.606,72.817,12.165,71.44,11.935,76.416,12.757,74.97,12.515,19.387,19.456,19.02,19.088,94.385,0.826,8.664,0.05,0.33,11.765,0.165,10.167,1.598,-0.056,1.075,0.038,0.09,307.898,43.8,40265.09,40639.68,124.594,112.803,21.997,544908.875,27.246,4.548,3556.667,3591.016,10.96,0.096,9.296,1.419,48080.117,48251.484,599.734,600,0.421,0,0,14.504,-0.012,-0.009,-0.001,15.821,24.001,3.762,0.023,20.906,0.837,3.785,13.553,7.765,-0.221,13.507,13.599,11.059,98.059,-0.257,97.801,-0.257,97.801,3.039,101.097,3.039,2.146,0.893,-0.801,97.257,-0.709,97.35,145.689,243.748,38.981,54.755,56.693,63.362,27.793,27.862,36.502,36.502,25.544,104.131,90.915,91.492,24.133,88.229,22.359,22.539,100.212,30.085,38.149,14.557,0.33,2.939,1.938,0.09,1.043,1.053,0.004,0.001,30.485,0.618,76.416,12.757,72.817,12.165,19.387,19.456,47.606,94.385,0.826,0.2
1/9/2015,11:30:13 AM,0,600,599.65,-11.362,0,1.218,0.103,0.077,0.01,-29479.629,14.455,24.029,225.645,-19.868,1.371,227.016,7.731,11.244,13.632,13.592,-21.248,0.883,0.981,0.978,1.011,1.002,0.009,1.005,0.948,1.007,0.973,0.972,0.96,0.567,0.635,0.39,0.547,1.456,0.974,27.828,27.843,36.529,25.575,28.475,126.19,75.928,104.103,99.608,188.006,90.911,91.481,24.113,88.198,22.339,22.537,30.108,38.13,100.185,98.804,3.014,2.109,1.032,1.053,1.013,1.033,0.005,0.001,0.004,0.001,30.375,0.624,29.803,0.612,71.11,12.103,69.77,11.875,75.059,12.77,73.645,12.53,19.393,19.451,19.028,19.084,94.463,0.982,8.766,0.051,0.33,12.698,0.037,11.189,1.51,-0.061,1.003,-0.049,0.09,-581.512,-98.907,-76327.031,-78009.375,-238.324,-210.768,-39.595,-1045332.875,26.751,4.551,3519.764,3590.168,10.963,0.114,9.875,1.62,48075.672,48217.719,599.65,600,2.052,0,0,14.475,0.103,0.077,0.01,-29.48,24.029,3.761,0.023,20.887,0.837,3.784,13.612,7.731,-0.212,13.632,13.592,11.244,98.058,-0.258,97.8,-0.258,97.8,3.026,101.084,3.026,2.144,0.883,-0.776,97.281,-0.705,97.353,145.557,243.614,38.964,54.729,56.701,63.468,27.828,27.843,36.529,36.529,25.575,104.103,90.911,91.481,24.113,88.198,22.339,22.537,100.185,30.108,38.13,14.557,0.33,3.014,2.109,0.09,1.032,1.053,0.005,0.001,30.375,0.624,75.059,12.77,71.11,12.103,19.393,19.451,47.722,94.463,0.982,0.202
1/9/2015,11:30:14 AM,0,600,599.637,-11.275,0,-1.133,-0.095,-0.071,-0.01,-10657.886,14.48,24.059,225.564,-19.863,1.368,226.931,7.804,11.263,13.703,13.639,-21.666,0.881,0.981,0.978,1.011,1.002,0.009,1.005,0.948,1.007,0.973,0.972,0.96,0.568,0.634,0.39,0.548,1.457,0.974,27.833,27.922,36.527,25.557,28.507,126.136,75.93,103.962,99.574,187.854,90.931,91.502,24.147,88.169,22.338,22.536,30.102,38.118,100.158,98.834,3.205,1.945,1.028,1.049,1.008,1.03,0.004,0.001,0.004,0.001,30.215,0.575,29.646,0.564,70.995,12.438,69.658,12.204,73.624,13.134,72.237,12.887,19.408,19.454,19.043,19.087,94.73,0.893,8.77,0.052,0.33,12.772,0.115,11.254,1.517,-0.057,1.018,-0.043,0.09,-204.682,-36.517,-27317.805,-27936.328,-85.861,-65.232,-10.988,-375441.625,26.231,4.679,3502.896,3576.788,10.99,0.104,8.854,1.22,48095.441,48207.699,599.637,600,-0.809,0,0,14.465,-0.095,-0.071,-0.01,-10.658,24.059,3.759,0.023,20.885,0.837,3.782,13.671,7.804,-0.217,13.703,13.639,11.263,98.058,-0.258,97.8,-0.258,97.8,3.031,101.09,3.031,2.133,0.898,-0.783,97.275,-0.704,97.354,145.716,243.775,38.979,54.757,56.753,63.447,27.833,27.922,36.527,36.527,25.557,103.962,90.931,91.502,24.147,88.169,22.338,22.536,100.158,30.102,38.118,14.557,0.33,3.205,1.945,0.09,1.028,1.049,0.004,0.001,30.215,0.575,73.624,13.134,70.995,12.438,19.408,19.454,47.811,94.73,0.893,0.204
1/9/2015,11:30:15 AM,0,600,599.424,-11.175,0,2.188,0.184,0.137,0.019,12981.995,14.504,24.084,225.363,-19.937,1.381,226.744,7.72,11.142,13.658,13.664,-22.589,0.874,0.981,0.978,1.011,1.002,0.009,1.006,0.948,1.007,0.973,0.972,0.96,0.568,0.635,0.39,0.547,1.455,0.974,27.836,27.876,36.497,25.589,28.487,126.057,75.97,103.971,99.481,187.725,90.934,91.491,24.12,88.069,22.385,22.532,30.097,38.132,100.14,98.865,3.231,2.035,1.031,1.048,1.012,1.028,0.004,0.001,0.004,0.001,30.197,0.553,29.628,0.543,71.759,12.476,70.406,12.241,73.611,13.336,72.223,13.085,19.41,19.458,19.044,19.091,94.6,0.692,8.746,0.051,0.33,12.79,0.308,11.172,1.618,-0.057,1.044,0.025,0.09,246.45,45.227,33041.586,33580.918,103.234,89.409,11.266,452341.031,26.204,4.747,3511.814,3567.22,10.966,0.08,9.435,1.321,48059.41,48177.02,599.424,600,2.049,0,0,14.494,0.184,0.137,0.019,12.982,24.084,3.756,0.023,20.888,0.837,3.779,13.661,7.72,-0.226,13.658,13.664,11.142,98.057,-0.261,97.796,-0.261,97.796,3.041,101.098,3.041,2.155,0.885,-0.79,97.267,-0.701,97.356,145.463,243.521,38.978,54.719,56.782,63.546,27.836,27.876,36.497,36.497,25.589,103.971,90.934,91.491,24.12,88.069,22.385,22.532,100.14,30.097,38.132,14.557,0.33,3.231,2.035,0.09,1.031,1.048,0.004,0.001,30.197,0.553,73.611,13.336,71.759,12.476,19.41,19.458,47.646,94.6,0.692,0.203
1/9/2015,11:30:16 AM,0,600,599.442,-11.106,0,0.88,0.074,0.055,0.007,-26262.186,14.516,24.099,225.341,-19.919,1.408,226.748,7.71,10.933,13.643,13.727,-24.788,0.859,0.981,0.978,1.011,1.002,0.009,1.006,0.948,1.007,0.972,0.972,0.96,0.569,0.635,0.39,0.548,1.455,0.974,27.842,27.924,36.56,25.572,28.473,125.917,75.955,103.822,99.432,187.544,90.888,91.468,24.146,87.904,22.341,22.545,30.094,38.102,100.141,98.859,2.952,2.05,1.033,1.043,1.013,1.023,0.004,0.001,0.004,0.001,30.132,0.565,29.562,0.555,71.784,12.675,70.428,12.435,74.335,13.363,72.93,13.111,19.409,19.464,19.042,19.096,94.524,0.871,8.726,0.051,0.33,13.297,0.211,11.695,1.602,-0.058,1.044,-0.032,0.091,-492.1,-88.965,-65091.746,-65535.156,-202.594,-166.928,-26.237,-888635.063,26.461,4.757,3517.083,3550.557,10.958,0.101,8.638,1.507,48054.605,48192.516,599.442,600,1.627,0,0,14.503,0.074,0.055,0.007,-26.262,24.099,3.756,0.023,20.875,0.837,3.779,13.685,7.71,-0.248,13.643,13.727,10.933,98.056,-0.257,97.798,-0.257,97.798,3.025,101.081,3.025,2.142,0.882,-0.806,97.25,-0.706,97.35,145.501,243.556,38.987,54.765,56.882,63.52,27.842,27.924,36.56,36.56,25.572,103.822,90.888,91.468,24.146,87.904,22.341,22.545,100.141,30.094,38.102,14.557,0.33,2.952,2.05,0.091,1.033,1.043,0.004,0.001,30.132,0.565,74.335,13.363,71.784,12.675,19.409,19.464,47.697,94.524,0.871,0.203
